Teams	1	2	T	Field Goal %	Three Point %	Free Throw %	Rebounds	Offensive Rebounds	Defensive Rebounds	Assists	Steals	Blocks	Total Turnovers	Fouls	Technical Fouls	Flagrant Fouls	Largest Lead	Line	Favored Team	Spread	Teams Alt	OT
OMA	-13.0	-12.0	-25.0	-13.600000000000001	-17.099999999999998	25.60000000000001	-15.0	-8.0	-7.0	-14.0	-4.0	-4.0	4.0	-4.0	0.0	0.0	-26.0	Line: KU -33.5	KU	33.5	Omaha Mavericks	
KU	13.0	12.0	25.0	13.600000000000001	17.099999999999998	-25.60000000000001	15.0	8.0	7.0	14.0	4.0	4.0	-4.0	4.0	0.0	0.0	26.0	Line: KU -33.5	KU	-33.5	Kansas Jayhawks	
JAX	-16.0	-11.0	-27.0	-11.799999999999997	-21.5	36.4	-19.0	-9.0	-10.0	-7.0	-1.0	0.0	-1.0	6.0	0.0	0.0	-27.0	Line: DUKE -15.0	DUKE	15.0	Jacksonville Dolphins	
DUKE	16.0	11.0	27.0	11.799999999999997	21.5	-36.4	19.0	9.0	10.0	7.0	1.0	0.0	1.0	-6.0	0.0	0.0	27.0	Line: DUKE -15.0	DUKE	-15.0	Duke Blue Devils	
SAC	-14.0	-12.0	-26.0	-18.6	-48.9	18.799999999999997	4.0	6.0	-2.0	-5.0	-10.0	-5.0	12.0	-2.0	-2.0	0.0	-23.0	Line: UCLA -25.5	UCLA	25.5	Sacramento State Hornets	
UCLA	14.0	12.0	26.0	18.6	48.9	-18.799999999999997	-4.0	-6.0	2.0	5.0	10.0	5.0	-12.0	2.0	2.0	0.0	23.0	Line: UCLA -25.5	UCLA	-25.5	UCLA Bruins	
STMN	-5.0	-7.0	-12.0	2.0	17.4	-10.700000000000003	-4.0	-6.0	2.0	-1.0	-1.0	-4.0	9.0	5.0	0.0	0.0	-14.0	Line: CREI -28.0	CREI	28.0	St. Thomas - Minnesota Tommies	
CREI	5.0	7.0	12.0	-2.0	-17.4	10.700000000000003	4.0	6.0	-2.0	1.0	1.0	4.0	-9.0	-5.0	0.0	0.0	14.0	Line: CREI -28.0	CREI	-28.0	Creighton Bluejays	
NDSU	-8.0	-10.0	-18.0	-15.200000000000003	-16.2	-4.3999999999999915	-5.0	1.0	-6.0	-3.0	-6.0	-2.0	3.0	-3.0	-1.0	0.0	-21.0	Line: ARK -22.5	ARK	22.5	North Dakota State Bison	
ARK	8.0	10.0	18.0	15.200000000000003	16.2	4.3999999999999915	5.0	-1.0	6.0	3.0	6.0	2.0	-3.0	3.0	1.0	0.0	21.0	Line: ARK -22.5	ARK	-22.5	Arkansas Razorbacks	
